City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Odweyne,SO,9.4092,45.064,72.99,44,30,7.45,scattered clouds
80,Busselton,AU,-33.65,115.3333,59.09,94,84,5.93,broken clouds
81,Cap Malheureux,MU,-19.9842,57.6142,75.69,74,6,3.0,clear sky
82,Palkonda,IN,18.6,83.75,75.31,94,31,2.48,scattered clouds
83,Aklavik,CA,68.2191,-135.0107,6.8,92,90,4.61,light snow
84,Port Alfred,ZA,-33.5906,26.891,67.46,83,94,12.55,overcast clouds
85,Bambous Virieux,MU,-20.3428,57.7575,75.45,83,40,3.44,scattered clouds
86,Moosomin,CA,50.1333,-101.6677,29.98,97,100,5.46,overcast clouds
87,Tuktoyaktuk,CA,69.4541,-133.0374,5.0,85,90,9.22,light snow
88,Khatanga,RU,71.9667,102.5,-28.84,100,90,5.28,overcast clouds
89,Nikolskoye,RU,59.7035,30.7861,31.87,68,99,9.01,overcast clouds
90,Shimoda,JP,34.6667,138.95,60.24,67,38,6.02,scattered clouds
91,Kosa,RU,59.9445,54.9977,14.77,92,61,7.65,broken clouds
92,Nongpoh,IN,25.9,91.8833,62.17,95,15,2.68,few clouds
93,Ribeira Grande,PT,38.5167,-28.7,70.2,78,20,27.63,few clouds
94,Quang Ngai,VN,15.1167,108.8,74.12,96,100,2.8,overcast clouds
95,Iqaluit,CA,63.7506,-68.5145,2.93,77,20,11.99,few clouds
96,Jiangkou,CN,25.4872,119.1986,64.29,80,49,10.29,scattered clouds
97,Asau,RO,46.4333,26.4,45.75,85,100,4.63,overcast clouds
98,Cairns,AU,-16.9167,145.7667,80.06,90,75,5.75,broken clouds
99,Ponta Do Sol,PT,32.6667,-17.1,71.01,66,70,4.05,broken clouds
100,Juneau,US,58.3019,-134.4197,35.22,94,75,0.0,broken clouds
101,Kawardha,IN,22.0167,81.25,73.08,56,77,4.52,broken clouds
102,Pocone,BR,-16.2567,-56.6228,77.92,81,100,4.07,overcast clouds
103,Ha Tinh,VN,18.3333,105.9,68.94,88,100,5.7,overcast clouds
104,Price,US,39.5994,-110.8107,55.72,49,1,0.0,clear sky
105,Hilo,US,19.7297,-155.09,74.62,94,90,4.61,mist
106,Sola,VU,-13.8833,167.55,80.6,77,72,12.19,broken clouds
107,Huntington,US,38.4193,-82.4452,44.38,60,90,7.0,overcast clouds
108,Catamarca,AR,-28.4696,-65.7852,94.77,37,0,1.01,clear sky
109,Nome,US,64.5011,-165.4064,-2.13,78,1,4.61,clear sky
110,Codrington,AU,-38.2667,141.9667,49.51,67,72,7.92,broken clouds
111,East London,ZA,-33.0153,27.9116,77.94,53,0,5.75,clear sky
112,Waverly,US,42.7392,-84.6208,38.88,70,90,10.36,overcast clouds
113,Port Blair,IN,11.6667,92.75,80.01,84,71,8.23,light rain
114,Sol-Iletsk,RU,51.1631,54.9918,18.27,92,98,9.73,overcast clouds
115,Imbituba,BR,-28.24,-48.6703,78.69,67,96,21.74,overcast clouds
116,Punta Arenas,CL,-53.15,-70.9167,50.11,37,20,32.21,few clouds
117,Lompoc,US,34.6391,-120.4579,84.09,60,1,0.0,clear sky
118,Norman Wells,CA,65.282,-126.8329,-5.76,77,75,2.3,light snow
119,Uribia,CO,11.7139,-72.266,91.04,44,37,20.58,scattered clouds
120,Ozernovskiy,RU,51.5,156.5167,35.96,60,100,23.51,overcast clouds
121,Huarmey,PE,-10.0681,-78.1522,69.87,73,47,11.14,scattered clouds
122,Nalut,LY,30.3333,10.85,65.64,24,71,3.13,broken clouds
123,Wasilla,US,61.5814,-149.4394,14.76,78,1,0.0,clear sky
124,Sarana,RU,56.4773,57.7259,11.07,97,95,3.38,overcast clouds
125,Aswan,EG,24.0934,32.907,78.82,34,0,7.92,clear sky
126,Lebu,CL,-37.6167,-73.65,56.57,52,22,13.94,few clouds
127,Port Lincoln,AU,-34.7333,135.8667,54.41,69,33,5.57,scattered clouds
128,Constitucion,CL,-35.3333,-72.4167,61.16,55,10,21.27,clear sky
129,Lata,PT,40.1629,-8.3327,58.06,69,0,4.52,clear sky
130,Kushmurun,KZ,52.4503,64.6311,3.51,98,100,3.04,overcast clouds
131,Arandis,NA,-22.4167,14.9667,58.46,38,96,6.22,overcast clouds
132,Barrow,US,71.2906,-156.7887,8.62,72,90,11.5,light snow
133,Hofn,IS,64.2539,-15.2082,42.82,81,20,28.77,few clouds
134,Jurbarkas,LT,55.0778,22.7664,33.26,88,8,6.42,clear sky
135,Talnakh,RU,69.4865,88.3972,0.21,96,100,10.89,light snow
136,Tiksi,RU,71.6872,128.8694,-13.25,97,75,7.02,broken clouds
137,Lisiy Nos,RU,60.0169,30.0201,33.08,73,96,13.49,overcast clouds
138,Viedma,AR,-40.8135,-62.9967,57.13,52,94,16.89,overcast clouds
139,Clyde River,CA,70.4692,-68.5914,7.03,61,75,5.75,broken clouds
140,Deputatskiy,RU,69.3,139.9,0.61,97,100,2.33,light snow
141,Raymond,US,43.9015,-70.4703,45.28,77,84,4.41,broken clouds
142,La Ronge,CA,55.1001,-105.2842,30.45,93,90,5.75,mist
143,Ostrovnoy,RU,68.0531,39.5131,25.57,94,100,13.96,overcast clouds
144,Pitimbu,BR,-7.4706,-34.8086,88.39,65,63,10.4,broken clouds
145,Tasiilaq,GL,65.6145,-37.6368,16.81,66,94,9.95,overcast clouds
146,San Quintin,MX,30.4833,-115.95,77.38,34,0,6.26,clear sky
147,Pevek,RU,69.7008,170.3133,18.01,88,99,7.38,overcast clouds
148,Vicente Guerrero,MX,19.1194,-98.1708,64.42,23,0,4.99,clear sky
149,Ati,TD,13.2154,18.3353,89.85,14,2,9.24,clear sky
150,Saint-Philippe,RE,-21.3585,55.7679,76.55,79,48,11.39,scattered clouds
151,Fresnillo,MX,23.1667,-102.8833,60.84,32,0,10.02,clear sky
152,Barcelos,PT,41.5388,-8.6151,60.85,68,24,5.23,few clouds
153,Manggar,ID,-2.8833,108.2667,78.53,82,100,3.22,light rain
