City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Quatre Cocos,MU,2021-11-14 06:00:24,-20.2078,57.7625,81.09,67,96,11.74
68,Punta Arenas,CL,2021-11-14 06:00:24,-53.15,-70.9167,46.11,75,100,6.35
69,Parabel,RU,2021-11-14 06:00:24,58.6978,81.4825,26.89,96,100,6.42
70,Cartagena Del Chaira,CO,2021-11-14 06:00:25,1.3349,-74.8429,71.29,88,73,2.04
71,Saint-Francois,FR,2021-11-14 06:00:25,46.4154,3.9054,48.47,94,75,6.91
72,Komsomolskiy,UZ,2021-11-14 06:00:25,40.4272,71.7189,48.92,57,83,2.3
73,Bluff,NZ,2021-11-14 06:00:26,-46.6,168.3333,52.88,83,95,10.22
74,Bredasdorp,ZA,2021-11-14 06:00:26,-34.5322,20.0403,64.27,66,59,5.39
75,Impfondo,CG,2021-11-14 06:00:27,1.6381,18.0667,71.33,96,100,1.97
76,Suzhou,CN,2021-11-14 05:56:46,31.3114,120.6181,69.67,29,0,6.71
77,Butaritari,KI,2021-11-14 06:00:27,3.0707,172.7902,82.67,75,24,14.79
78,Port Alfred,ZA,2021-11-14 06:00:27,-33.5906,26.891,66.94,70,76,14.81
79,Hambantota,LK,2021-11-14 06:00:28,6.1241,81.1185,88.14,74,40,9.22
80,Hay River,CA,2021-11-14 06:00:28,60.8156,-115.7999,17.76,91,99,9.06
81,Kenora,CA,2021-11-14 06:00:29,49.8167,-94.4337,28.38,85,100,5.01
82,Ayan,RU,2021-11-14 06:00:29,56.45,138.1667,18.23,66,100,18.01
83,East London,ZA,2021-11-14 06:00:29,-33.0153,27.9116,68.16,61,43,14.0
84,Nikolskoye,RU,2021-11-14 06:00:30,59.7035,30.7861,39.87,91,100,5.5
85,Cherskiy,RU,2021-11-14 06:00:30,68.75,161.3,17.74,97,100,2.21
86,Carnarvon,AU,2021-11-14 06:00:31,-24.8667,113.6333,76.62,48,4,14.72
87,Conceicao Da Barra,BR,2021-11-14 06:00:31,-18.5933,-39.7322,66.6,83,100,6.17
88,Gayeri,BF,2021-11-14 06:00:31,12.6497,0.4931,75.16,20,15,4.05
89,Havre-Saint-Pierre,CA,2021-11-14 06:00:31,50.2334,-63.5986,32.77,86,94,13.89
90,Tuatapere,NZ,2021-11-14 06:00:32,-46.1333,167.6833,51.87,94,95,3.02
91,Ponta Do Sol,PT,2021-11-14 06:00:32,32.6667,-17.1,66.83,64,15,3.24
92,Eyl,SO,2021-11-14 05:57:41,7.9803,49.8164,83.23,60,43,14.12
93,Kutum,SD,2021-11-14 06:01:32,14.2,24.6667,69.66,20,0,8.95
94,Sao Filipe,CV,2021-11-14 06:01:33,14.8961,-24.4956,75.34,71,54,7.67
95,Tasiilaq,GL,2021-11-14 06:01:33,65.6145,-37.6368,39.36,86,100,22.1
96,Paamiut,GL,2021-11-14 06:01:33,61.994,-49.6678,4.98,73,1,10.22
97,Kelvington,CA,2021-11-14 06:01:34,52.1667,-103.5343,15.69,98,95,3.47
98,Yellowknife,CA,2021-11-14 06:01:13,62.456,-114.3525,24.57,100,94,10.0
99,Kungurtug,RU,2021-11-14 06:01:34,50.5994,97.5228,29.48,55,35,1.36
100,Benin,BJ,2021-11-14 06:01:35,9.5,2.25,73.81,73,99,3.42
101,Roald,NO,2021-11-14 06:01:35,62.5833,6.1333,43.32,93,0,6.91
102,Durusu,TR,2021-11-14 06:01:35,41.3053,28.6767,48.83,95,99,4.0
103,Hasaki,JP,2021-11-14 06:01:36,35.7333,140.8333,68.29,54,75,15.7
104,Inirida,CO,2021-11-14 06:01:36,3.8653,-67.9239,73.36,98,98,0.25
105,Te Anau,NZ,2021-11-14 06:01:36,-45.4167,167.7167,52.83,87,97,0.81
106,Madera,US,2021-11-14 05:59:38,37.1666,-119.8343,66.06,95,0,2.95
107,Nanortalik,GL,2021-11-14 06:01:37,60.1432,-45.2371,20.75,67,2,32.88
