City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
258,Tucuman,AR,84.2,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
260,Namibe,AO,75.83,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
261,Mabaruma,GY,83.52,few clouds,8.2,-59.7833,Monty Brooms Guest House
263,Buchanan,LR,84.16,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
265,Labuhan,ID,76.32,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
269,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
271,Camocim,BR,85.1,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
273,Candelaria,PH,79.39,broken clouds,13.9311,121.4233,Casa de Provincia
274,Sao Felix Do Xingu,BR,77.07,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
277,Saint-Paul,RE,77.09,broken clouds,-21.0096,55.2707,Boucan Canot
278,Santa Clara,CU,79.34,overcast clouds,22.4,-79.9667,El Carmen
280,Taoudenni,ML,79.21,scattered clouds,22.6783,-3.9836,
281,Lagos,NG,80.92,overcast clouds,6.5833,3.75,
282,Maragogi,BR,83.01,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
285,Road Town,VG,87.84,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
286,Sembe,CG,77.92,broken clouds,1.6481,14.5806,
287,Dingle,PH,75.34,light rain,10.9995,122.6711,SEGAYA PROPERTY
309,Uberlandia,BR,78.01,broken clouds,-18.9186,-48.2772,Hotel Apollo
311,Belmonte,BR,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
320,Cabadiangan,PH,77.09,light rain,9.7531,122.4739,Kipot
321,Pyapon,MM,76.3,scattered clouds,16.2833,95.6833,Aung Naing Thu Motel
322,Cayenne,GF,84.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
328,Masvingo,ZW,77.83,few clouds,-20.0637,30.8277,River Side Lodge
329,Villa Maria,AR,83.82,scattered clouds,-32.4075,-63.2402,Hotel Milenium
337,Hambantota,LK,79.48,broken clouds,6.1241,81.1185,Bungalow 63
339,Quatre Cocos,MU,75.31,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
351,Iracoubo,GF,81.79,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
357,Rosarito,MX,86.41,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
364,Meulaboh,ID,76.71,light rain,4.1363,96.1285,Kost Pria
367,Nanakuli,US,76.03,scattered clouds,21.3906,-158.1547,Camp Pālehua
370,La Romana,DO,89.96,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
372,Simplicio Mendes,BR,89.37,overcast clouds,-7.8539,-41.9103,Fidalgo
378,San Antonio,US,79.81,overcast clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
379,Solenzo,BF,89.37,few clouds,12.1833,-4.0833,
380,Aracuai,BR,75.79,overcast clouds,-16.8497,-42.0703,Village das Minas Hotel
383,Tenenkou,ML,89.28,broken clouds,14.4572,-4.9169,
388,Miri,MY,75.34,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
389,Adrar,MR,81.03,scattered clouds,20.5022,-10.0711,
390,Macaubas,BR,76.42,overcast clouds,-13.0194,-42.6986,Macaúbas Palace Hotel
391,Conde,BR,87.26,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
392,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
397,Sunrise Manor,US,75.24,broken clouds,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
399,Toamasina,MG,75.2,few clouds,-18.1667,49.3833,Hotel H1
400,Karwar,IN,77.9,overcast clouds,14.8,74.1333,Netalco Connects
407,Chuy,UY,77.61,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
408,Rocha,UY,76.26,broken clouds,-34.4833,-54.3333,Hotel Arrarte
410,Pemangkat,ID,78.35,overcast clouds,1.1667,108.9667,Ramah Kost KITA
411,Omboue,GA,78.3,overcast clouds,-1.5746,9.2618,Hotel Olako
417,Conceicao Do Araguaia,BR,76.68,very heavy rain,-8.2578,-49.2647,Tarumã Tropical Hotel
420,Touros,BR,88.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
423,Ponerihouen,NC,76.01,scattered clouds,-21.0833,165.4,Camping de Tiakan
434,Labrea,BR,88.56,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
435,San Pedro,PH,82.15,scattered clouds,14.35,121.0167,Villa Veronica Resort Private Pool
439,Ramotswa,BW,89.22,broken clouds,-24.8716,25.8699,Nako Guest House @ Ramotswa
441,Kidal,ML,84.6,broken clouds,18.4411,1.4078,
444,Port Hedland,AU,77.05,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
446,Chiredzi,ZW,81.48,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
459,Imuris,MX,82.09,clear sky,30.7833,-110.8667,Hotel del Toro Hereford
463,Chake Chake,TZ,77.63,scattered clouds,-5.2459,39.7666,Hotel Archipelago
464,Panama City,PA,89.38,scattered clouds,8.9936,-79.5197,Riande Urban Hotel
465,Santa Rosalia,MX,82.47,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
473,Lazaro Cardenas,MX,85.68,few clouds,17.9583,-102.2,quinta antigua
474,Teahupoo,PF,76.96,overcast clouds,-17.8333,-149.2667,Vanira Lodge
476,Iralaya,HN,81.52,overcast clouds,15.0,-83.2333,Iglesia morava renovada
480,Uarini,BR,89.02,broken clouds,-2.99,-65.1083,
482,Kuching,MY,77.22,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
483,Narasannapeta,IN,76.6,broken clouds,18.4167,84.05,G.lingaraju home
484,Kismayo,SO,79.56,overcast clouds,-0.3582,42.5454,Agan-Hotel
488,Manokwari,ID,78.06,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
491,Bosaso,SO,78.1,few clouds,11.2842,49.1816,Red Sea Hotel
494,Kita,ML,87.93,scattered clouds,13.0349,-9.4895,Hôtel Chat Rouge
495,Kirakira,SB,79.0,scattered clouds,-10.4544,161.9205,SanBiz Lodge
498,Cabedelo,BR,83.26,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
500,Cururupu,BR,84.99,moderate rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
501,Buala,SB,80.8,light rain,-8.145,159.5921,Maringe Lagoon Lodge
505,Somotillo,NI,89.83,clear sky,13.0433,-86.9064,Las Lomas Somotillo
509,Prado,BR,76.06,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
511,Ugoofaaru,MV,81.16,broken clouds,5.6667,73.0,Ungoofaaru Inn
513,Satara,IN,75.58,overcast clouds,17.6833,73.9833,Dagdusheth Farsana
516,Algodones,MX,80.13,broken clouds,20.3888,-105.4773,
